"AirD7" "O2D7" "AirD60" "O2D60"
"0" 94 104 423 400
"1" 16 9 346 529
"2" 24 11 377 278
"3" 92 87 224 186
"4" 408 100 17 13
"5" 57 29 194 232
"6" 44 26 215 209
"7" 56 45 151 192
"8" 24 12 173 216
"9" 37 20 193 161
"10" 20 18 160 191
"11" 61 52 93 183
"12" 63 57 110 158
"13" 68 48 118 150
"14" 15 9 176 183
"15" 77 42 142 120
"16" 68 66 113 92
"17" 187 74 26 28
"18" 24 29 118 131
"19" 27 20 103 131
"20" 21 14 124 121
"21" 3 2 110 87
"22" 121 59 7 8
"23" 25 17 75 70
"24" 50 23 40 73
"25" 35 38 40 54
"26" 22 19 66 56
"27" 133 11 12 3
"28" 65 7 42 38
"29" 41 49 27 30
"30" 45 30 28 30
"31" 7 10 48 63
"32" 15 15 54 43
"33" 15 14 31 60
"34" 82 3 12 20
"35" 10 12 43 45
"36" 6 3 47 54
"37" 6 10 42 47
"38" 33 8 36 16
"39" 56 12 7 7
"40" 1 0 17 25
"41" 12 7 11 11
"42" 20 3 3 4
"43" 12 7 3 5
"44" 10 15 0 2
